shops,ratings,userids,shops_index,userids_index
craftsmen-specialty-coffee-singapore-3,4.0,1585,119.0,13.0
old-hen-coffee-bar-singapore-2,4.0,2043,44.0,0.0
killiney-kopitiam-singapore-4,5.0,1412,69.0,22.0
whampoa-terminal-cafeteria-singapore,4.0,2043,371.0,0.0
吃-western-singapore,4.0,2262,469.0,40.0
the-lokal-singapore,5.0,2479,32.0,7.0
good-morning-nanyang-cafe-singapore-2,4.0,1051,446.0,5.0
toms-palette-singapore,5.0,1368,4.0,87.0
asian-market-cafe-singapore,5.0,2043,323.0,0.0
boyles-coffee-singapore,5.0,2043,967.0,0.0
the-coconut-club-singapore,5.0,1825,148.0,42.0
oriole-coffee-bar-singapore-2,4.0,2061,8.0,4.0
the-coffee-bean-and-tea-leaf-singapore-18,3.0,809,487.0,44.0
old-hen-coffee-bar-singapore-2,4.0,2237,44.0,8.0
2am-dessert-bar-singapore,5.0,2043,30.0,0.0
carpenter-and-cook-singapore,4.0,1397,17.0,56.0
the-coffee-bean-and-tea-leaf-singapore-35,4.0,91,626.0,2.0
yamakawa-super-singapore,4.0,1368,274.0,87.0
lim-teck-guan-minced-pork-singapore,4.0,2043,873.0,0.0
max-brenner-chocolate-bar-singapore-2,4.0,433,160.0,93.0
tiong-bahru-bakery-singapore-3,4.0,18,79.0,23.0
the-coffee-bean-and-tea-leaf-singapore-24,4.0,488,310.0,24.0
my-awesome-cafe-singapore,5.0,57,48.0,39.0
flying-hog-cafe-and-bar-singapore,3.0,2043,610.0,0.0
heavenly-wang-singapore-5,4.0,1051,389.0,5.0
stateland-cafe-singapore,5.0,91,174.0,2.0
baker-and-cook-singapore-10,4.0,2043,647.0,0.0
graffiti-cafe-singapore-2,3.0,1989,338.0,35.0
sweetspot-singapore-2,5.0,1274,149.0,58.0
da-paolo-gastronomia-orchard-paragon-singapore,4.0,1051,544.0,5.0
le-halo-singapore,3.0,2043,336.0,0.0
2nd-mini-steamboat-delight-singapore,5.0,2043,966.0,0.0
hood-bar-and-cafe-singapore,4.0,898,283.0,41.0
the-book-cafe-singapore,4.0,1123,21.0,19.0
brunetti-singapore,5.0,1359,63.0,32.0
tom-n-toms-coffee-singapore,3.0,1779,131.0,52.0
the-quarters-singapore,5.0,2043,876.0,0.0
brunetti-singapore,5.0,713,63.0,26.0
40-hands-singapore,4.0,2068,3.0,45.0
toast-singapore,4.0,2043,301.0,0.0
sun-ray-cafe-singapore,4.0,2043,126.0,0.0
jewel-coffee-singapore-13,5.0,2043,348.0,0.0
carpenter-and-cook-singapore,4.0,2192,17.0,77.0
local-coffee-people-singapore,4.0,2218,385.0,71.0
nylon-coffee-roasters-singapore,5.0,2237,0.0,8.0
bundt-by-the-backyard-bakers-singapore,5.0,1667,216.0,29.0
lavender-food-hub-singapore,5.0,2043,540.0,0.0
riders-cafe-singapore,4.0,1902,54.0,55.0
santap-singapore,4.0,91,598.0,2.0
1983-a-taste-of-nanyang-singapore-2,4.0,532,318.0,50.0
tcc-the-connoisseur-concerto-singapore-10,4.0,2043,924.0,0.0
wang-cafe-singapore-10,3.0,2218,343.0,71.0
shrove-tuesday-singapore,4.0,1825,188.0,42.0
killiney-kopitiam-singapore-13,5.0,2043,882.0,0.0
niche-savoureuse-singapore,4.0,91,335.0,2.0
amber-ember-singapore,4.0,2043,619.0,0.0
waterfall-cafe-singapore,5.0,186,163.0,3.0
cafe-melba-singapore,4.0,2043,42.0,0.0
40-hands-singapore,4.0,18,3.0,23.0
coffee-and-toast-singapore,4.0,570,155.0,59.0
starbucks-singapore-129,4.0,488,128.0,24.0
free-the-robot-singapore,5.0,1475,104.0,20.0
play-nation-singapore,5.0,2043,134.0,0.0
forty-hands-east-coast-singapore,5.0,1397,354.0,56.0
scoop-of-art-singapore,4.0,2043,428.0,0.0
carpenter-and-cook-singapore,4.0,91,17.0,2.0
two-men-bagel-house-singapore,5.0,27,12.0,11.0
tom-n-toms-coffee-singapore,3.0,1412,131.0,22.0
nylon-coffee-roasters-singapore,5.0,107,0.0,57.0
the-marmalade-pantry-singapore-4,4.0,1359,179.0,32.0
artease-singapore-2,4.0,2043,353.0,0.0
the-lokal-singapore,5.0,794,32.0,37.0
lau-pa-sat-singapore-2,4.0,2493,77.0,21.0
wild-honey-singapore,4.0,2043,5.0,0.0
riders-cafe-singapore,4.0,1602,54.0,14.0
crown-bakery-and-cafe-singapore,4.0,2043,270.0,0.0
strangers-reunion-singapore,4.0,992,7.0,98.0
maxwell-food-centre-singapore-3,5.0,1877,2.0,61.0
oriole-coffee-bar-singapore-2,4.0,2043,8.0,0.0
maccha-house-singapore,4.0,2540,138.0,18.0
chatuchak-thai-tea-singapore,5.0,675,554.0,6.0
nylon-coffee-roasters-singapore,5.0,1868,0.0,76.0
lana-cake-singapore-3,5.0,2192,65.0,77.0
tuk-tuk-cha-singapore-2,4.0,675,121.0,6.0
mr-teh-tarik-eating-house-singapore-5,5.0,2043,921.0,0.0
hoopla-singapore,5.0,2043,394.0,0.0
free-the-robot-singapore,5.0,2061,104.0,4.0
the-muffinry-bakery-and-cafe-singapore,4.0,488,84.0,24.0
yamakawa-super-singapore,4.0,2350,274.0,15.0
spinelli-coffee-company-singapore-3,3.0,1779,379.0,52.0
sarnies-singapore,4.0,1397,40.0,56.0
sarnies-singapore,4.0,2192,40.0,77.0
nespresso-boutique-singapore,5.0,2043,640.0,0.0
tobys-estate-singapore,4.0,2061,11.0,4.0
tiong-bahru-bakery-singapore-3,4.0,1051,79.0,5.0
refuel-cafe-singapore,5.0,2043,668.0,0.0
woobbee-singapore,5.0,376,218.0,31.0
stamping-ground-singapore-2,4.0,1599,254.0,83.0
cocoa-colony-singapore,5.0,2043,289.0,0.0
t-cafe-gong-cha-singapore,5.0,1989,195.0,35.0
fanny-singapore,4.0,2350,460.0,15.0
starbucks-singapore-24,5.0,2043,240.0,0.0
volks-cafe-singapore,4.0,2043,777.0,0.0
starbucks-singapore-63,4.0,2043,905.0,0.0
ps-cafe-singapore-7,5.0,2073,39.0,90.0
cafe-melba-singapore,4.0,198,42.0,9.0
lao-huo-tang-singapore,4.0,2043,590.0,0.0
curious-palette-singapore,4.0,2044,111.0,25.0
kith-cafe-singapore,4.0,186,26.0,3.0
escape-restaurant-and-lounge-singapore,4.0,91,596.0,2.0
rise-and-grind-singapore,4.0,241,584.0,101.0
kopi-roti-nasi-lemak-house-singapore,3.0,2043,793.0,0.0
little-creatures-brewing-singapore-singapore,5.0,2043,256.0,0.0
characters-cafe-singapore-2,4.0,2043,600.0,0.0
da-paolo-gastronomia-bukit-timah-bukit-timah,4.0,532,71.0,50.0
craftsmen-specialty-coffee-singapore,4.0,57,98.0,39.0
ladurée-singapore,4.0,2043,238.0,0.0
old-chang-kee-coffee-house-singapore,3.0,2043,665.0,0.0
nam-nam-noodle-bar-downtown-core,3.0,2540,103.0,18.0
common-man-coffee-roasters-singapore,4.0,186,13.0,3.0
dal-komm-coffee-singapore,4.0,23,185.0,17.0
maxwell-food-centre-singapore-3,5.0,1777,2.0,36.0
attap-house-singapore,5.0,992,645.0,98.0
praelum-wine-bistro-singapore,5.0,2237,88.0,8.0
pâtisserie-glacé-singapore-4,4.0,322,340.0,86.0
highlander-coffee-singapore,5.0,105,178.0,89.0
pasarbella-singapore,4.0,1051,132.0,5.0
m-seven-cafe-singapore,4.0,2043,538.0,0.0
koi-cafe-singapore-2,5.0,2141,156.0,92.0
kindred-folk-singapore,3.0,2043,616.0,0.0
creamier-handcrafted-ice-cream-and-coffee-singapore-2,5.0,2043,589.0,0.0
jonkers-nyonya-deli-singapore,4.0,1051,548.0,5.0
the-garden-slug-singapore,4.0,186,145.0,3.0
toast-box-singapore-24,4.0,1599,475.0,83.0
ugly-cake-shop-singapore,4.0,2043,773.0,0.0
rich-and-good-cake-shop-singapore,5.0,1057,52.0,82.0
the-book-cafe-singapore,4.0,27,21.0,11.0
lynns-cakes-and-coffee-singapore,4.0,128,241.0,34.0
le-cafe-confectionery-and-pastry-singapore,5.0,1602,95.0,14.0
the-clueless-goat-singapore,4.0,2043,106.0,0.0
bodacious-bar-and-bistro-singapore,4.0,2043,222.0,0.0
baristart-coffee-sentosa-southern-islands,5.0,2043,502.0,0.0
183-rojak-singapore,4.0,76,375.0,84.0
group-therapy-coffee-singapore,4.0,209,10.0,38.0
5-the-moments-cafe-singapore,4.0,2043,159.0,0.0
grids-and-circles-singapore-2,4.0,2043,741.0,0.0
ya-kun-kaya-toast-singapore-44,5.0,2043,801.0,0.0
pasarbella-singapore,4.0,2043,132.0,0.0
the-autobus-singapore,4.0,2043,929.0,0.0
cafe-melba-singapore,4.0,306,42.0,1.0
tong-heng-singapore-3,5.0,36,51.0,85.0
tantric-bar-and-may-wongs-cafe-singapore-2,4.0,1276,85.0,27.0
joe-and-dough-singapore-5,4.0,2043,858.0,0.0
hustle-co-singapore,5.0,2043,170.0,0.0
keith-crackling-roast-singapore-2,4.0,2043,194.0,0.0
lau-pa-sat-singapore-2,4.0,2540,77.0,18.0
the-tiong-bahru-club-singapore,4.0,23,135.0,17.0
rocky-master-singapore,4.0,2043,229.0,0.0
mon-bijou-singapore,4.0,2479,209.0,7.0
drips-singapore,4.0,328,14.0,48.0
strangers-reunion-singapore,4.0,1989,7.0,35.0
da-paolo-gastronomia-marina-bay-sands-singapore,5.0,225,560.0,43.0
watanabe-coffee-singapore,4.0,1877,68.0,61.0
tobys-estate-singapore,4.0,1475,11.0,20.0
tanjong-rhu-pau-singapore-2,5.0,809,258.0,44.0
ninja-bowl-singapore,4.0,306,125.0,1.0
pasarbella-singapore-2,4.0,433,542.0,93.0
rabbit-carrot-gun-singapore-2,4.0,1894,115.0,78.0
the-marmalade-pantry-singapore-5,4.0,2043,969.0,0.0
the-coffee-bean-and-tea-leaf-singapore-46,4.0,2043,306.0,0.0
loong-fatt-tau-sar-piah-singapore,5.0,2043,239.0,0.0
strangers-reunion-singapore,4.0,322,7.0,86.0
cedele-singapore-41,3.0,2043,762.0,0.0
tiong-bahru-bakery-singapore-3,4.0,75,79.0,12.0
tai-cheong-bakery-singapore-2,5.0,306,562.0,1.0
the-clueless-goat-singapore,4.0,2097,106.0,33.0
sunday-folks-singapore,5.0,2163,38.0,103.0
petit-menu-singapore-2,4.0,91,429.0,2.0
max-brenner-chocolate-bar-singapore-2,4.0,970,160.0,74.0
lowercase-singapore,4.0,2262,344.0,40.0
cozy-corner-coffee-singapore,4.0,1486,236.0,81.0
tullys-coffee-singapore,3.0,2043,173.0,0.0
the-bao-makers-singapore,4.0,2043,118.0,0.0
vickys-singapore-2,5.0,1075,146.0,10.0
liquids-cafe-singapore,3.0,2043,958.0,0.0
sin-hoi-sai-eating-house-singapore,4.0,1397,152.0,56.0
brawn-and-brains-coffee-singapore,5.0,789,29.0,16.0
tiong-bahru-bakery-singapore,4.0,1051,76.0,5.0
okada-coffee-singapore,5.0,152,172.0,49.0
mr-bean-singapore-16,3.0,2043,383.0,0.0
joe-and-dough-singapore-6,4.0,91,299.0,2.0
dimbulah-singapore,4.0,2043,607.0,0.0
hill-street-coffee-shop-singapore,5.0,2262,305.0,40.0
tolidos-espresso-nook-singapore-3,5.0,2474,35.0,107.0
the-muffinry-bakery-and-cafe-singapore,4.0,306,84.0,1.0
habitat-coffee-singapore,3.0,105,46.0,89.0
tea-lounge-singapore-3,5.0,18,192.0,23.0
da-paolo-gastronomia-bukit-timah-bukit-timah,4.0,2043,71.0,0.0
percolate-singapore,5.0,57,61.0,39.0
tolidos-espresso-nook-singapore-3,5.0,675,35.0,6.0
twg-tea-singapore-3,5.0,1777,47.0,36.0
fuel-plus-singapore,4.0,2043,284.0,0.0
ps-cafe-singapore-9,2.0,2043,690.0,0.0
heavenly-wang-singapore-9,4.0,91,202.0,2.0
espressoul-singapore-2,4.0,2043,139.0,0.0
jimmy-monkey-cafe-and-bar-singapore,4.0,128,9.0,34.0
yahava-koffeeworks-singapore,5.0,75,101.0,12.0
starbucks-singapore-100,4.0,306,57.0,1.0
baker-and-cook-singapore-4,5.0,2043,221.0,0.0
wimbly-lu-chocolate-cafe-company-singapore,4.0,2044,28.0,25.0
the-coffee-academics-singapore,3.0,1722,43.0,73.0
regroup-singapore,4.0,1475,319.0,20.0
toast-box-no-title-4,1.0,2043,846.0,0.0
olivia-and-co-singapore-2,4.0,2043,678.0,0.0
choupinette-singapore,4.0,1902,64.0,55.0
ps-cafe-singapore-7,5.0,18,39.0,23.0
the-lokal-singapore,5.0,1100,32.0,104.0
naomi-kitchen-singapore-2,4.0,2043,162.0,0.0
flor-patisserie-singapore,5.0,987,36.0,100.0
strangers-reunion-singapore,4.0,1882,7.0,46.0
group-therapy-coffee-singapore,4.0,1970,10.0,68.0
hoshino-coffee-singapore-4,4.0,2043,464.0,0.0
the-company-of-cats-singapore,5.0,861,342.0,62.0
